# People and groups that have no row of their own in the source. The note is what a
# visitor reads, so it says who they are, not where the data came from; how the record
# got here is carried by its kind and shown separately on the page.
#   record      a person the source names, researched into a record here and given dates
#   ghost       the same, but not identifiable: kept hollow and undated
#   collective  a group the source links to as if it were one thing
#   derived     something the source states in a column rather than a row
# id|name|type|domain|kind|dates|source|note
#
# --- named in the source, researched into records here -------------------------
GH-CURTIS|John Curtis|person|nat|record|1791-1862|https://en.wikipedia.org/wiki/John_Curtis_(entomologist)|The entomologist who described and named the Manchester moth, in London, from a specimen sent up from Manchester. His British Entomology ran to sixteen volumes and settled who got the credit for a great many discoveries made by other people.
GH-PEARSON|William Henry Pearson|person|nat|record|1849-1923|https://en.wikipedia.org/wiki/William_Henry_Pearson_(botanist)|A Manchester warehouseman who became the leading British authority on liverworts, working from a herbarium built in his own house. Part of the circle around Benjamin Carrington, and one of the collections that ended up at the Manchester Museum.
GH-BRITTAIN|Thomas Brittain|person|nat|record|1806-1884|https://en.wikipedia.org/wiki/Manchester_Microscopical_Society|A founder of the Manchester Microscopical Society and a populariser of the microscope at a moment when a working man could buy one and start finding things nobody had described.
GH-CASH|James Cash|person|nat|record|1839-1909|https://en.wikipedia.org/wiki/Manchester_Microscopical_Society|A Manchester microscopist who worked on freshwater rhizopods, and a mainstay of the town's cryptogamic and microscopical societies.
GH-BRITTEN|Harry Britten|person|nat|record|1870-1954|https://www.manchester.ac.uk/about/history-heritage/history/buildings/museum/|Entomologist, later keeper of entomology at the Manchester Museum. The point at which the town's amateur collecting tradition became a museum job.
GH-WOLSTENHOLME|Elizabeth Wolstenholme Elmy|person|suff|record|1833-1918|https://en.wikipedia.org/wiki/Elizabeth_Wolstenholme_Elmy|Schoolmistress, and one of the most radical and least comfortable figures in the suffrage movement. She founded the Manchester Schoolmistresses Association, campaigned on married women's property and on the law's treatment of women's bodies, and refused to soften any of it.
GH-RPANKHURST|Richard Pankhurst|person|suff|record|1834-1898|https://en.wikipedia.org/wiki/Richard_Pankhurst|The radical barrister who drafted the first women's suffrage bill and the Married Women's Property Act, and who married Emmeline Goulden. Present at the 1867 founding of the Manchester society.
GH-DICKENSON|Sarah Dickenson|person|suff|record|1868-1954|https://www.wcml.org.uk/our-collections/working-lives/womens-history/|A Manchester mill worker who became a full-time organiser, co-founding the Women's Trades Council in 1895 and spending forty years bringing working women into unions.
GH-POCHIN|Agnes Pochin|person|suff|record|1825-1908|https://en.wikipedia.org/wiki/Agnes_Pochin|Writer and campaigner who argued for women's suffrage in print before the Manchester society existed, and spoke at its first public meeting in 1868.
GH-BUTLER|Josephine Butler|person|suff|record|1828-1906|https://en.wikipedia.org/wiki/Josephine_Butler|The campaigner against the Contagious Diseases Acts, who took on a subject respectable opinion would not discuss and won. She sat on the Manchester suffrage executive in its first years.
